,heading,location,rent per month,Bedrooom,Bathrooom,Area-sqft
144,"Fully Furnished 3,600 Square Feet Apartment Ready For Rent In Baridhara","Block K, Baridhara","৳300,000",4,4,3600 sqft
145,1500 Square Feet Modest Apartment For Rent In Kalabagan,"Lake Circus Road, Kalabagan","৳30,000",3,3,1500 sqft
146,Offering You Nice 1390 Sq Ft Apartment To Rent In Mohammadpur,"Bizlymoholla Road, Mohammadpur","৳25,000",3,2,1390 sqft
147,"Sophisticated Style! This 2000 Sq Ft Flat For Rent In Sector 6, Uttara Is All About I...","Sector 6, Uttara","৳43,000",3,4,2000 sqft
148,"2800 Sq Ft Full Furnished Apartment With Standard And Modern Fittings, Is Up For Rent...","Gulshan 2, Gulshan","৳250,000",3,3,2800 sqft
149,Extravagant 5000 Sq Ft Ready Semi Furnished Apartment For Rent In Gulshan 2,"Gulshan 2, Gulshan","৳380,000",4,5,5000 sqft
150,Spacious 2750 Square Feet Apartment For Rent In Gulshan 1,"Gulshan 1, Gulshan","৳110,000",3,3,2750 sqft
151,"1650 Sq Ft Flat Available For Rent In The Great Area Of Bashundhara R-a, Block G","Block G, Bashundhara R-A","৳30,000",3,3,1650 sqft
152,Remarkable 2750 Sq Ft Ready Apartment For Rent In Gulshan 2,"Gulshan 2, Gulshan","৳200,000",4,4,2750 sqft
153,Spectacular 2750 Sq Ft Apartment For Rent In Gulshan,"Gulshan 2, Gulshan","৳200,000",4,4,2750 sqft
154,"4 Bedroom Residential Apartment For Rent In Block D, Bashundhara R/A","Block D, Bashundhara R-A","৳50,000",4,4,2800 sqft
155,"Sophisticated Style! This 2000 Sq Ft Flat For Rent In Sector 6, Uttara Is All About I...","Sector 6, Uttara","৳43,000",3,4,2000 sqft
156,"2800 Sq Ft Full Furnished Apartment With Standard And Modern Fittings, Is Up For Rent...","Gulshan 2, Gulshan","৳250,000",3,3,2800 sqft
157,Extravagant 5000 Sq Ft Ready Semi Furnished Apartment For Rent In Gulshan 2,"Gulshan 2, Gulshan","৳380,000",4,5,5000 sqft
158,2880 SFT Ready Apartment For Rent In Baridhara Block K .,"Block K, Baridhara","৳200,000",3,3,2882 sqft
159,Elite 1600 Square Feet Residential Apartment For Rent In Gulshan,"Gulshan 2, Gulshan","৳90,000",3,3,1600 sqft
160,Vibrant 3800 SFT Ready Apartment For Rent In Baridhara,"Block K, Baridhara","৳260,000",4,5,3800 sqft
161,"Grab This 1600 Sq Ft Modern Flat To Rent In Bashundhara R-a, Block E","Block E, Bashundhara R-A","৳30,000",3,3,1600 sqft
162,Deal With This 1690 Sq Ft Flat For Rent In Tejgaon,"Tejkunipara, Tejgaon","৳53,000",3,3,1690 sqft
163,A Fascinating 1560 Sq Ft 3- Bedroom Apartment For Rent In Bashundhara Block H,"Block H, Bashundhara R-A","৳23,000",3,3,1560 sqft
164,Commodious 1600 Sq Ft Apartment For Rent In Uttara,"Sector 14, Uttara","৳35,000",3,3,1600 sqft
165,Standard 1450 Sq Ft Apartment For Rent In Aftab Nagar,"Block E, Aftab Nagar","৳25,000",3,3,1450 sqft
166,Suitable 1400 Sq Ft Apartment Is Ready To Rent In Aftab Nagar,"Block F, Aftab Nagar","৳30,000",3,3,1400 sqft
167,"Deal With This 1400 Sq Ft Apartment Ready For Rent In Aftab Nagar, Block F","Block F, Aftab Nagar","৳30,000",3,3,1400 sqft
168,1750 Sq Ft Flat With 3 Bedrooms For Rent In Uttara-10,"Sector 10, Uttara","৳60,000",3,3,1750 sqft
169,Unfurnished | Cozy Apartment | Best Layout,"Block L, Bashundhara R-A","৳25,000",3,3,1150 sqft
170,1100 Square Feet Residential Flat For Rent In Uttar Badda,"Uttar Badda, Badda","৳25,000",3,3,1100 sqft
171,"2340 Sq Ft Apartment Is Ready For Rent In Aftab Nagar, Block C","Block C, Aftab Nagar","৳50,000",4,4,2340 sqft
172,A Relaxing 750 Sq Ft Residential Property Is Up For Rent At Nikunja 2,"Nikunja 2, Nikunja","৳21,000",2,2,750 sqft
173,"Looking For A Perfect Family Home To Rent In Motijheel, Check This 1200 Sq Ft Well Fe...","Gopibag, Motijheel","৳30,000",3,3,1200 sqft
174,Reside In This 1300 Sq Ft Apartment Available For Rent In Mid Badda,"Middle Badda, Badda","৳25,000",3,3,1300 sqft
175,Modest 1100 Sq Ft Apartment For Rent In Banasree,"Block G, Banasree","৳22,000",3,2,1100 sqft
176,"1100 Square Feet Perfect Apartment For Rent In Mohammadpur, Pc Culture Housing","PC Culture Housing, Mohammadpur","৳22,000",3,2,1100 sqft
177,1750 Sq Ft Flat For Rent In Uttara-10,"Sector 10, Uttara","৳60,000",3,3,1750 sqft
178,Deal With This 1750 Sq Ft Flat For Rent In Uttara-10,"Sector 10, Uttara","৳60,000",3,3,1750 sqft
179,A 1600 Sq Ft Very Reasonable Medium Flat Is Available For Rent At Bashundhara R-a,"Block G, Bashundhara R-A","৳25,000",3,3,1600 sqft
180,"Have A Look At This 1500 Sq Ft Property Which Is Up For Rent Located At Block E, Bash...","Block E, Bashundhara R-A","৳27,000",3,3,1500 sqft
181,"Plan To Move In This 1150 Sq Ft Flat Which Is For Rent In Block L, Bashundhara R/A","Block L, Bashundhara R-A","৳25,000",3,3,1150 sqft
182,An Apartment Of 1550 Sq. Ft For Rent Is All Set For You To Settle In West Kafrul Clos...,"West Kafrul, Taltola","৳30,000",3,4,1550 sqft
183,"Find 1400 Sq Ft Flat Available To Rent In Shahjadpur, Badda","Shahjadpur, Badda","৳28,000",3,3,1400 sqft
184,Worthy 1100 SQ FT Residential Apartment is ready to Rent at Ashkona,"Ashkona, Dakshin Khan","৳20,000",3,2,1100 sqft
185,"Reside Conveniently In This Well Constructed 1800 Sq Ft Flat For Rent In Sector 6, Ut...","Sector 6, Uttara","৳50,000",3,3,1800 sqft
186,A Very Well-fitted Apartment Is Here Sited At Aftab Nagar Featuring 1250 Sq Ft Space ...,"Block B, Aftab Nagar","৳25,000",3,3,1250 sqft
187,This 1600 Sq Ft Well Defined Flat Is Now Vacant To Rent In Baitul Aman Housing Societ...,"Baitul Aman Housing Society, Adabor","৳23,000",3,4,1600 sqft
188,See This 2000 Square Feet Apartment Is For Rent In Bashundhara R-a,"Block A, Bashundhara R-A","৳40,000",3,4,2000 sqft
189,This Blissful Apartment For Rent In Bashundhara R-A Near Apollo Hospital.,"Block A, Bashundhara R-A","৳40,000",3,4,2000 sqft
190,Your Desired Large 3 Bedroom Apartment Is For Rent In Bashundhara R-a Near Apollo Hos...,"Block A, Bashundhara R-A","৳40,000",3,4,2000 sqft
191,Create Your New Home In A Nice Flat Of 2000 SFT For Rent In Bashundhara,"Block A, Bashundhara R-A","৳40,000",3,4,2000 sqft
192,A Well-constructed 1200 Sq Ft Flat Is Ready For Rent In Badda Close To Sahaba Jame Mo...,"Vatara, Badda","৳21,000",3,2,1200 sqft
